지점,지점명,일시,기온(°C)
108,서울,2022-06-17 00:01,18.7
108,서울,2022-06-17 00:02,18.7
108,서울,2022-06-17 00:03,18.7
108,서울,2022-06-17 00:04,18.7
108,서울,2022-06-17 00:05,18.7
108,서울,2022-06-17 00:06,18.7
108,서울,2022-06-17 00:07,18.7
108,서울,2022-06-17 00:08,18.7
108,서울,2022-06-17 00:09,18.7
108,서울,2022-06-17 00:10,18.7
108,서울,2022-06-17 00:11,18.7
108,서울,2022-06-17 00:12,18.7
108,서울,2022-06-17 00:13,18.7
108,서울,2022-06-17 00:14,18.7
108,서울,2022-06-17 00:15,18.7
108,서울,2022-06-17 00:16,18.7
108,서울,2022-06-17 00:17,18.7
108,서울,2022-06-17 00:18,18.7
108,서울,2022-06-17 00:19,18.7
108,서울,2022-06-17 00:20,18.6
108,서울,2022-06-17 00:21,18.6
108,서울,2022-06-17 00:22,18.6
108,서울,2022-06-17 00:23,18.6
108,서울,2022-06-17 00:24,18.6
108,서울,2022-06-17 00:25,18.6
108,서울,2022-06-17 00:26,18.6
108,서울,2022-06-17 00:27,18.5
108,서울,2022-06-17 00:28,18.5
108,서울,2022-06-17 00:29,18.5
108,서울,2022-06-17 00:30,18.5
108,서울,2022-06-17 00:31,18.5
108,서울,2022-06-17 00:32,18.5
108,서울,2022-06-17 00:33,18.4
108,서울,2022-06-17 00:34,18.4
108,서울,2022-06-17 00:35,18.4
108,서울,2022-06-17 00:36,18.4
108,서울,2022-06-17 00:37,18.4
108,서울,2022-06-17 00:38,18.3
108,서울,2022-06-17 00:39,18.3
108,서울,2022-06-17 00:40,18.3
108,서울,2022-06-17 00:41,18.3
108,서울,2022-06-17 00:42,18.3
108,서울,2022-06-17 00:43,18.3
108,서울,2022-06-17 00:44,18.2
108,서울,2022-06-17 00:45,18.2
108,서울,2022-06-17 00:46,18.2
108,서울,2022-06-17 00:47,18.2
108,서울,2022-06-17 00:48,18.2
108,서울,2022-06-17 00:49,18.2
108,서울,2022-06-17 00:50,18.2
108,서울,2022-06-17 00:51,18.2
108,서울,2022-06-17 00:52,18.2
108,서울,2022-06-17 00:53,18.2
108,서울,2022-06-17 00:54,18.2
108,서울,2022-06-17 00:55,18.2
108,서울,2022-06-17 00:56,18.1
108,서울,2022-06-17 00:57,18.1
108,서울,2022-06-17 00:58,18.1
108,서울,2022-06-17 00:59,18.1
108,서울,2022-06-17 01:00,18.1
108,서울,2022-06-17 01:01,18.1
108,서울,2022-06-17 01:02,18.1
108,서울,2022-06-17 01:03,18.1
108,서울,2022-06-17 01:04,18.1
108,서울,2022-06-17 01:05,18.1
108,서울,2022-06-17 01:06,18.1
108,서울,2022-06-17 01:07,18.1
108,서울,2022-06-17 01:08,18.1
108,서울,2022-06-17 01:09,18
108,서울,2022-06-17 01:10,18
108,서울,2022-06-17 01:11,18
108,서울,2022-06-17 01:12,18
108,서울,2022-06-17 01:13,18
108,서울,2022-06-17 01:14,18
108,서울,2022-06-17 01:15,18
108,서울,2022-06-17 01:16,18
108,서울,2022-06-17 01:17,18
108,서울,2022-06-17 01:18,18
108,서울,2022-06-17 01:19,18
108,서울,2022-06-17 01:20,18
108,서울,2022-06-17 01:21,18
108,서울,2022-06-17 01:22,18
108,서울,2022-06-17 01:23,18
108,서울,2022-06-17 01:24,18
108,서울,2022-06-17 01:25,18
108,서울,2022-06-17 01:26,18
108,서울,2022-06-17 01:27,18
108,서울,2022-06-17 01:28,18
108,서울,2022-06-17 01:29,18
108,서울,2022-06-17 01:30,18
108,서울,2022-06-17 01:31,18
108,서울,2022-06-17 01:32,18
108,서울,2022-06-17 01:33,18
108,서울,2022-06-17 01:34,18
